"ISO3","countryname","year","rGDP","unemp","CPI"
"PAK","Pakistan",1844,NA,NA,NA
"PAK","Pakistan",1845,NA,NA,NA
"PAK","Pakistan",1846,NA,NA,NA
"PAK","Pakistan",1847,NA,NA,NA
"PAK","Pakistan",1848,NA,NA,NA
"PAK","Pakistan",1849,NA,NA,NA
"PAK","Pakistan",1850,NA,NA,NA
"PAK","Pakistan",1851,NA,NA,NA
"PAK","Pakistan",1852,NA,NA,NA
"PAK","Pakistan",1853,NA,NA,NA
"PAK","Pakistan",1854,NA,NA,NA
"PAK","Pakistan",1855,NA,NA,NA
"PAK","Pakistan",1856,NA,NA,NA
"PAK","Pakistan",1857,NA,NA,NA
"PAK","Pakistan",1858,NA,NA,NA
"PAK","Pakistan",1859,NA,NA,NA
"PAK","Pakistan",1860,NA,NA,NA
"PAK","Pakistan",1861,NA,NA,NA
"PAK","Pakistan",1862,NA,NA,NA
"PAK","Pakistan",1863,NA,NA,NA
"PAK","Pakistan",1864,NA,NA,NA
"PAK","Pakistan",1865,NA,NA,NA
"PAK","Pakistan",1866,NA,NA,NA
"PAK","Pakistan",1867,NA,NA,NA
"PAK","Pakistan",1868,NA,NA,NA
"PAK","Pakistan",1869,NA,NA,NA
"PAK","Pakistan",1870,NA,NA,NA
"PAK","Pakistan",1871,NA,NA,NA
"PAK","Pakistan",1872,NA,NA,NA
"PAK","Pakistan",1873,NA,NA,NA
"PAK","Pakistan",1874,NA,NA,NA
"PAK","Pakistan",1875,NA,NA,NA
"PAK","Pakistan",1876,NA,NA,NA
"PAK","Pakistan",1877,NA,NA,NA
"PAK","Pakistan",1878,NA,NA,NA
"PAK","Pakistan",1879,NA,NA,NA
"PAK","Pakistan",1880,NA,NA,NA
"PAK","Pakistan",1881,NA,NA,NA
"PAK","Pakistan",1882,NA,NA,NA
"PAK","Pakistan",1883,NA,NA,NA
"PAK","Pakistan",1884,NA,NA,NA
"PAK","Pakistan",1885,NA,NA,NA
"PAK","Pakistan",1886,NA,NA,NA
