Date,Series Name,Output,Unit,Observation Status,Observation Status Comment
04/2001, Domestic Cement Sales,833.7,Thousand Metric Ton,Normal,
04/2001,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/2001,Total Cement Sales,832.1,Thousand Metric Ton,Normal,
05/2001, Domestic Cement Sales,832.1,Thousand Metric Ton,Normal,
05/2001,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/2001,Total Cement Sales,819.7,Thousand Metric Ton,Normal,
06/2001, Domestic Cement Sales,819.7,Thousand Metric Ton,Normal,
06/2001,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/2001,Total Cement Sales,762.4,Thousand Metric Ton,Normal,
07/2001, Domestic Cement Sales,761.1,Thousand Metric Ton,Normal,
07/2001,Export Cement Sales,1.3,Thousand Metric Ton,Normal,
08/2001,Total Cement Sales,792.4,Thousand Metric Ton,Normal,
08/2001, Domestic Cement Sales,787.7,Thousand Metric Ton,Normal,
08/2001,Export Cement Sales,4.7,Thousand Metric Ton,Normal,
09/2001,Total Cement Sales,853.7,Thousand Metric Ton,Normal,
09/2001, Domestic Cement Sales,848.6,Thousand Metric Ton,Normal,
09/2001,Export Cement Sales,5.2,Thousand Metric Ton,Normal,
10/2001,Total Cement Sales,873.6,Thousand Metric Ton,Normal,
10/2001, Domestic Cement Sales,873.6,Thousand Metric Ton,Normal,
10/2001,Export Cement Sales,0,Thousand Metric Ton,Normal,
11/2001,Total Cement Sales,764.1,Thousand Metric Ton,Normal,
11/2001, Domestic Cement Sales,764.1,Thousand Metric Ton,Normal,
11/2001,Export Cement Sales,0,Thousand Metric Ton,Normal,
12/2001,Total Cement Sales,650.4,Thousand Metric Ton,Normal,
12/2001, Domestic Cement Sales,650.4,Thousand Metric Ton,Normal,
12/2001,Export Cement Sales,0,Thousand Metric Ton,Normal,
01/2002,Total Cement Sales,753.3,Thousand Metric Ton,Normal,
01/2002, Domestic Cement Sales,748.5,Thousand Metric Ton,Normal,
01/2002,Export Cement Sales,4.8,Thousand Metric Ton,Normal,
02/2002,Total Cement Sales,706.3,Thousand Metric Ton,Normal,
02/2002, Domestic Cement Sales,695.8,Thousand Metric Ton,Normal,
02/2002,Export Cement Sales,10.5,Thousand Metric Ton,Normal,
03/2002,Total Cement Sales,910.1,Thousand Metric Ton,Normal,
03/2002, Domestic Cement Sales,895.1,Thousand Metric Ton,Normal,
03/2002,Export Cement Sales,15,Thousand Metric Ton,Normal,
04/2002,Total Cement Sales,981.8,Thousand Metric Ton,Normal,
04/2002, Domestic Cement Sales,959.1,Thousand Metric Ton,Normal,
04/2002,Export Cement Sales,22.7,Thousand Metric Ton,Normal,
05/2002,Total Cement Sales,927.4,Thousand Metric Ton,Normal,
05/2002, Domestic Cement Sales,900.3,Thousand Metric Ton,Normal,
05/2002,Export Cement Sales,27.1,Thousand Metric Ton,Normal,
06/2002,Total Cement Sales,964,Thousand Metric Ton,Normal,
06/2002, Domestic Cement Sales,948.6,Thousand Metric Ton,Normal,
06/2002,Export Cement Sales,15.4,Thousand Metric Ton,Normal,
07/2002,Total Cement Sales,949.2,Thousand Metric Ton,Normal,
07/2002, Domestic Cement Sales,927.9,Thousand Metric Ton,Normal,
07/2002,Export Cement Sales,21.4,Thousand Metric Ton,Normal,
08/2002,Total Cement Sales,889.7,Thousand Metric Ton,Normal,
08/2002, Domestic Cement Sales,864.5,Thousand Metric Ton,Normal,
08/2002,Export Cement Sales,25.1,Thousand Metric Ton,Normal,
09/2002,Total Cement Sales,900.9,Thousand Metric Ton,Normal,
09/2002, Domestic Cement Sales,867.8,Thousand Metric Ton,Normal,
09/2002,Export Cement Sales,33.1,Thousand Metric Ton,Normal,
10/2002,Total Cement Sales,943.9,Thousand Metric Ton,Normal,
10/2002, Domestic Cement Sales,907.4,Thousand Metric Ton,Normal,
10/2002,Export Cement Sales,36.5,Thousand Metric Ton,Normal,
11/2002,Total Cement Sales,947.7,Thousand Metric Ton,Normal,
