company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
GIS,-0.79,0.184,0.025,1.009,-0.013,0.021,-0.006,0.053,0,0.247,-0,NA,0.3,0.246,0.155,0.134,0.022,0.022,0.009,0.005,0.036,0,0.021,0,NA,0.083,-3.21,1.186,0.184,45.986,-0.571,2.186,-1.347,1.462,0.078,11.481,-2.806,NA,3.594,0.001,0.236,0.854,0,0.568,0.029,0.178,0.144,0.938,0,0.005,NA,0
HAL,0.305,-0.594,0.713,1.051,-0.098,-0.112,-0.017,0.079,0.014,0.382,-0,-0.004,-0.514,0.317,0.218,0.21,0.025,0.024,0.033,0.012,0.027,0.001,0.067,0,0.181,0.129,0.962,-2.724,3.388,42.503,-4.037,-3.376,-1.497,2.938,11.117,5.669,-3.377,-0.022,-3.995,0.336,0.006,0.001,0,0,0.001,0.134,0.003,0,0,0.001,0.982,0
HSY,0.009,0.024,-0.024,0.875,0.117,-0.005,0.002,-0.006,0,-0.016,0,NA,NA,0.069,0.053,0.049,0.022,0.022,0.007,0.001,0.004,0,0.008,0,NA,NA,0.137,0.445,-0.479,39.358,5.258,-0.716,1.808,-1.502,0.171,-2,0.067,NA,NA,0.891,0.656,0.632,0,0,0.474,0.071,0.133,0.864,0.046,0.946,NA,NA
HUM,-0.192,-0.163,0.144,0.809,0.178,0.027,0.009,0,0.001,0.028,0,NA,NA,0.1,0.056,0.053,0.022,0.022,0.015,0.007,0.011,0,0.013,0,NA,NA,-1.935,-2.908,2.741,36.23,8.003,1.879,1.273,0.031,4.495,2.19,0.024,NA,NA,0.053,0.004,0.006,0,0,0.06,0.203,0.975,0,0.029,0.981,NA,NA
IPG,-0.063,-0.054,0.024,0.687,0.294,0.01,0.002,0.003,0,0.016,0,-0.11,-0.126,0.057,0.05,0.043,0.021,0.021,0.006,0.002,0.015,0,0.011,0,0.04,0.04,-1.093,-1.074,0.568,32.172,13.893,1.672,0.642,0.182,1.428,1.536,1.256,-2.717,-3.115,0.274,0.283,0.57,0,0,0.095,0.521,0.856,0.153,0.125,0.209,0.007,0.002
K,-1.182,-0.973,0.709,0.397,0.38,-0.023,0.148,1.058,0.016,-0.473,0,NA,0.097,3.657,1.931,1.407,0.021,0.021,0.116,0.025,0.413,0.003,0.233,0,NA,0.893,-0.323,-0.504,0.504,19.167,18.37,-0.199,5.818,2.56,5.034,-2.03,0.455,NA,0.109,0.747,0.614,0.614,0,0,0.843,0,0.011,0,0.042,0.649,NA,0.913
KR,0.199,-0.111,0.365,1.008,-0.014,-0.104,-0.007,0.128,-0.001,0.274,-0,NA,NA,0.102,0.142,0.128,0.022,0.022,0.028,0.005,0.072,0,0.028,0,NA,NA,1.941,-0.779,2.848,45.083,-0.605,-3.713,-1.477,1.767,-2.686,9.877,-3.985,NA,NA,0.052,0.436,0.004,0,0.545,0,0.14,0.077,0.007,0,0,NA,NA
LEN,-1.768,-3.888,4.374,0.9,0.078,-0.032,-0.026,-0.008,0.01,0.794,-0,-0.437,0.08,0.959,0.339,0.33,0.023,0.023,0.131,0.049,0.015,0.001,0.086,0,0.234,0.33,-1.843,-11.466,13.241,39.036,3.382,-0.245,-0.535,-0.514,7.524,9.207,-4.845,-1.868,0.241,0.065,0,0,0,0.001,0.806,0.592,0.607,0,0,0,0.062,0.81
LLY,-0.043,-0.143,0.135,0.815,0.172,0.004,0,-0,0,0.036,0,0.035,0.115,0.068,0.048,0.047,0.022,0.022,0.013,0,0.006,0,0.009,0,0.036,0.036,-0.633,-2.96,2.863,36.979,7.781,0.279,0.001,-0.012,0.52,3.877,1.176,0.971,3.158,0.527,0.003,0.004,0,0,0.781,0.999,0.99,0.603,0,0.24,0.332,0.002
LOW,-0.389,-0.163,0.278,0.935,0.043,-0.017,0.001,-0.049,0.001,0.222,-0,NA,0.349,0.2,0.091,0.088,0.023,0.023,0.028,0,0.018,0,0.019,0,NA,0.073,-1.944,-1.779,3.161,40.672,1.886,-0.6,2.684,-2.705,3.24,11.792,-3.471,NA,4.754,0.052,0.075,0.002,0,0.059,0.548,0.007,0.007,0.001,0,0.001,NA,0
MMC,0.081,-0.466,0.534,0.942,0.043,-0.055,0.002,0.009,0,0.153,-0,0.027,0.177,0.179,0.127,0.124,0.023,0.023,0.032,0.004,0.009,0,0.018,0,0.07,0.07,0.453,-3.671,4.308,40.534,1.843,-1.733,0.459,1.039,0.013,8.566,-0.981,0.382,2.551,0.651,0,0,0,0.065,0.083,0.646,0.299,0.99,0,0.327,0.702,0.011
MAS,-0.712,0.031,0.124,0.868,0.108,-0.013,0,0.009,-0.001,0.135,-0,-0.029,NA,0.273,0.2,0.191,0.022,0.022,0.049,0,0.022,0.001,0.043,0,0.169,NA,-2.605,0.156,0.649,38.951,4.826,-0.264,2.838,0.416,-1.013,3.15,-3.023,-0.171,NA,0.009,0.876,0.516,0,0,0.792,0.005,0.678,0.311,0.002,0.003,0.864,NA
CVS,-0.612,-0.215,0.429,0.929,0.062,-0.005,-0.033,-0.007,0.001,0.229,-0,-0.198,-0.256,0.182,0.129,0.123,0.023,0.023,0.02,0.011,0.006,0,0.022,0,0.087,0.087,-3.363,-1.659,3.479,39.886,2.653,-0.27,-2.881,-1.182,2.394,10.298,-5.986,-2.263,-2.928,0.001,0.097,0.001,0,0.008,0.787,0.004,0.237,0.017,0,0,0.024,0.003
LH,0.066,0.26,-0.34,0.985,0.007,0.036,-0.001,0.001,0.001,-0.013,0,-0.007,0.518,0.135,0.091,0.083,0.022,0.022,0.026,0.011,0.006,0,0.018,0,0.039,0.068,0.488,2.858,-4.111,44.747,0.315,1.348,-0.102,0.168,4.281,-0.73,0.788,-0.169,7.589,0.626,0.004,0,0,0.752,0.178,0.919,0.867,0,0.466,0.431,0.866,0
NKE,-0.602,-0.071,0.046,0.974,0.018,0.088,0.01,-0.015,0.001,-0.008,-0,NA,NA,0.125,0.063,0.06,0.022,0.022,0.018,0.004,0.006,0,0.013,0,NA,NA,-4.813,-1.127,0.77,43.465,0.819,4.83,2.735,-2.51,3.896,-0.581,-1.162,NA,NA,0,0.26,0.442,0,0.413,0,0.006,0.012,0,0.562,0.245,NA,NA
NSC,-0.329,0.078,-0.033,0.912,0.075,0.02,-0.014,0.009,-0,0.191,-0,NA,NA,0.159,0.097,0.093,0.023,0.023,0.023,0.01,0.01,0,0.019,0,NA,NA,-2.067,0.803,-0.354,39.203,3.234,0.885,-1.326,0.88,-0.26,10.191,-2.1,NA,NA,0.039,0.422,0.724,0,0.001,0.376,0.185,0.379,0.795,0,0.036,NA,NA
NUE,-0.19,-0.363,0.475,0.854,0.144,-0.003,-0.074,-0.015,0.001,0.089,-0,NA,0.453,0.168,0.117,0.103,0.022,0.022,0.024,0.076,0.007,0,0.029,0,NA,0.111,-1.128,-3.092,4.631,38.542,6.495,-0.116,-0.975,-2.021,3.464,3.073,-2.24,NA,4.097,0.259,0.002,0,0,0,0.908,0.33,0.043,0.001,0.002,0.025,NA,0
OXY,6.042,-2.035,1.552,0.922,0.018,-0.566,-0.009,-0.125,0.038,0.383,-0,-0.37,1.432,1.109,0.514,0.504,0.025,0.025,0.101,0.012,0.127,0.003,0.175,0,0.299,0.386,5.449,-3.96,3.08,36.428,0.745,-5.595,-0.755,-0.984,12.562,2.183,-0.349,-1.237,3.709,0,0,0.002,0,0.456,0,0.45,0.325,0,0.029,0.727,0.216,0
OMC,-0.895,0.396,0.356,0.879,0.095,-0.205,-0.008,0.189,-0.001,0.166,-0,NA,NA,0.135,0.131,0.107,0.023,0.023,0.024,0.002,0.051,0,0.022,0,NA,NA,-6.622,3.016,3.316,39.036,4.231,-8.599,-3.471,3.707,-1.688,7.697,-9.977,NA,NA,0,0.003,0.001,0,0,0,0.001,0,0.092,0,0,NA,NA
COP,-2.228,-0.685,1.304,0.947,0.051,0.032,-0.024,-0.045,0.005,0.471,-0,0.15,0.985,0.537,0.314,0.292,0.024,0.024,0.045,0.019,0.036,0.001,0.082,0,0.218,0.219,-4.149,-2.185,4.458,39.528,2.138,0.713,-1.228,-1.252,4.285,5.76,-5.32,0.688,4.496,0,0.029,0,0,0.033,0.476,0.219,0.211,0,0,0,0.491,0
PHM,1.636,-2.752,3.38,0.953,0.03,-0.418,-0.111,-0.045,0.003,0.665,-0,-0.016,NA,0.557,0.303,0.286,0.024,0.023,0.099,0.051,0.038,0.001,0.074,0,0.283,NA,2.94,-9.073,11.814,40.288,1.294,-4.211,-2.205,-1.199,2.189,8.97,-4.922,-0.057,NA,0.003,0,0,0,0.196,0,0.028,0.231,0.029,0,0,0.955,NA
PPG,-0.065,0.005,-0.003,0.715,0.282,0.009,0,0.001,0,0.011,-0,0.057,-0.008,0.106,0.056,0.045,0.021,0.021,0.009,0.002,0.005,0,0.01,0,0.036,0.037,-0.61,0.083,-0.074,33.264,13.107,0.963,0.252,0.152,0.278,1.081,-0.684,1.57,-0.204,0.542,0.934,0.941,0,0,0.336,0.801,0.879,0.781,0.28,0.494,0.117,0.839
SHW,-1.49,-0.601,0.759,0.893,0.091,0.106,0,0.071,0.001,0.276,-0,0.093,-0.099,0.528,0.19,0.187,0.024,0.024,0.076,0.003,0.031,0.001,0.035,0,0.097,0.137,-2.819,-3.159,4.049,37.837,3.86,1.391,0.098,2.313,1.274,7.858,-4.233,0.957,-0.723,0.005,0.002,0,0,0,0.164,0.922,0.021,0.203,0,0,0.338,0.47
LUV,-0.324,-0.885,1.353,0.957,0.016,-0.11,-0.007,0.053,0.003,0.257,-0,-0.064,1.769,0.505,0.345,0.321,0.023,0.023,0.077,0.032,0.035,0.002,0.086,0,0.23,0.333,-0.641,-2.568,4.207,41.751,0.719,-1.424,-0.221,1.515,1.852,2.99,-4.076,-0.276,5.316,0.521,0.01,0,0,0.472,0.155,0.825,0.13,0.064,0.003,0,0.782,0
SWK,-0.08,0.064,-0.06,0.909,0.076,0.003,0.007,-0.012,0.001,-0.023,-0,NA,NA,0.302,0.113,0.104,0.022,0.022,0.021,0.01,0.03,0,0.026,0,NA,NA,-0.265,0.567,-0.577,40.65,3.414,0.145,0.719,-0.414,1.958,-0.868,-0.166,NA,NA,0.791,0.571,0.564,0,0.001,0.885,0.472,0.679,0.05,0.386,0.868,NA,NA
