Date,Price,Open,High,Low,Vol.,Change %
11/12/2024,"93,224.56","93,799.93","93,871.61","92,893.11",408482876,-0.45%
11/11/2024,"93,648.32","93,485.41","94,020.02","93,318.91",468863228,0.38%
11/08/2024,"93,291.68","92,623.84","93,514.55","92,566.49",362829838,0.83%
11/07/2024,"92,520.48","92,259.48","92,694.53","92,185.69",322627966,0.54%
11/06/2024,"92,021.44","92,509.76","92,966.94","91,891.47",376319319,-0.31%
11/05/2024,"92,304.32","92,510.48","92,514.30","91,536.09",289409252,0.40%
11/04/2024,"91,938.00","91,454.30","92,159.08","91,395.35",311380974,1.19%
11/01/2024,"90,859.85","89,292.74","91,133.28","88,852.68",230034853,2.13%
10/31/2024,"88,966.76","90,459.17","90,700.23","89,063.34",287735778,-1.46%
10/30/2024,"90,286.56","91,375.52","91,872.63","90,003.31",240626754,-0.64%
10/29/2024,"90,864.09","90,509.48","91,358.15","90,449.41",256874960,0.74%
10/28/2024,"90,195.51","90,633.65","91,054.83","89,732.73",267244697,0.22%
10/25/2024,"89,993.96","89,373.82","90,593.61","89,373.82",365941166,1.18%
10/24/2024,"88,945.98","87,553.63","89,126.15","87,382.04",458054021,2.01%
10/23/2024,"87,194.53","86,667.99","87,309.22","86,284.25",424365965,0.84%
10/22/2024,"86,466.57","86,294.70","86,846.03","86,294.69",415551315,0.48%
10/21/2024,"86,057.51","85,353.34","86,172.79","85,349.32",240442007,0.95%
10/18/2024,"85,250.09","85,638.58","85,773.82","85,120.90",152919391,-0.39%
10/17/2024,"85,585.43","86,439.57","86,520.29","85,539.19",219878282,-0.72%
10/16/2024,"86,205.66","86,060.69","86,513.46","85,948.05",259491201,0.43%
10/15/2024,"85,840.34","85,264.93","85,893.99","84,856.21",251621901,0.68%
10/14/2024,"85,261.38","85,596.91","86,105.02","85,156.11",263517705,-0.26%
10/11/2024,"85,483.40","85,432.84","85,750.18","84,774.45",295018853,0.04%
10/10/2024,"85,453.22","85,743.41","86,013.46","85,425.74",293943274,-0.25%
10/09/2024,"85,669.27","85,823.81","86,451.42","85,444.30",349287138,0.01%
10/08/2024,"85,663.97","84,905.56","85,824.27","84,897.98",283714499,0.89%
10/07/2024,"84,910.29","83,651.99","85,047.81","83,303.54",281013466,1.65%
10/04/2024,"83,531.95","82,804.30","83,605.72","82,594.79",173692831,0.98%
10/03/2024,"82,721.76","82,076.34","82,958.73","81,981.50",159625475,0.92%
10/02/2024,"81,967.00","81,706.43","82,360.28","81,529.45",154646093,0.20%
10/01/2024,"81,804.59","81,199.43","81,980.36","81,119.24",191149995,0.85%
09/30/2024,"81,114.20","81,271.08","81,321.63","80,352.22",116757209,-0.22%
09/27/2024,"81,292.13","83,767.61","81,842.74","81,183.50",153487760,-0.45%
09/26/2024,"81,657.96","82,752.07","82,905.73","81,552.66",152660215,-0.72%
09/25/2024,"82,247.91","81,643.50","82,331.85","81,524.41",155310370,0.94%
09/24/2024,"81,483.64","81,873.63","82,010.09","81,107.38",148622968,-0.45%
09/23/2024,"81,850.50","82,113.42","82,463.05","81,548.64",162998707,-0.27%
09/20/2024,"82,074.44","81,694.98","82,372.19","81,387.57",243550905,0.76%
