"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2021","17,353.47","17,426.84","17,511.02","17,299.43","","-0.42%"
"12/23/2021","17,426.84","17,389.36","17,513.16","17,348.97","","0.22%"
"12/22/2021","17,389.36","17,387.27","17,439.58","17,340.84","","0.01%"
"12/21/2021","17,387.27","17,487.33","17,611.14","17,370.05","","-0.57%"
"12/20/2021","17,487.33","17,298.14","17,563.28","17,257.92","","1.09%"
"12/17/2021","17,298.14","17,214.28","17,334.38","17,134.36","","0.49%"
"12/16/2021","17,214.28","17,472.88","17,501.97","17,166.84","","-1.48%"
"12/15/2021","17,472.88","17,044.74","17,528.81","17,044.74","","2.51%"
"12/14/2021","17,044.74","16,900.77","17,050.50","16,817.62","","2.19%"
"12/13/2021","16,679.45","16,900.77","16,934.37","16,643.63","","-1.31%"
"12/10/2021","16,900.77","16,957.22","17,015.31","16,748.92","","-0.33%"
"12/09/2021","16,957.22","17,049.47","17,125.07","16,823.07","","-0.54%"
"12/08/2021","17,049.47","17,005.73","17,153.06","16,933.66","","0.26%"
"12/07/2021","17,005.73","16,777.44","17,141.59","16,777.44","","1.36%"
"12/06/2021","16,777.44","16,718.24","16,867.44","16,603.71","","0.35%"
"12/03/2021","16,718.24","16,697.96","16,905.82","16,462.88","","0.12%"
"12/02/2021","16,697.96","17,575.86","17,575.86","16,647.29","","-4.99%"
"12/01/2021","17,575.86","17,429.62","17,616.04","17,429.62","","0.84%"
"11/30/2021","17,429.62","17,550.49","17,776.26","17,252.12","","-0.69%"
"11/29/2021","17,550.49","17,034.02","17,616.45","16,918.54","","3.03%"
"11/26/2021","17,034.02","16,939.28","17,148.63","16,854.01","","0.56%"
"11/25/2021","16,939.28","17,124.02","17,209.74","16,836.54","","-1.08%"
"11/24/2021","17,124.02","17,379.98","17,413.40","17,061.53","","-1.47%"
"11/23/2021","17,379.98","17,713.96","17,799.85","17,356.34","","-1.89%"
"11/22/2021","17,713.96","18,037.74","18,086.05","17,690.35","","-1.80%"
"11/19/2021","18,037.74","17,894.99","18,099.89","17,812.96","","0.80%"
"11/18/2021","17,894.99","17,952.03","17,962.37","17,701.99","","-0.32%"
"11/17/2021","17,952.03","18,098.42","18,151.58","17,871.64","","-0.81%"
"11/16/2021","18,098.42","17,746.20","18,120.36","17,746.20","","1.98%"
"11/15/2021","17,746.20","17,725.86","17,792.47","17,617.91","","0.11%"
"11/12/2021","17,725.86","17,981.39","18,011.61","17,706.91","","-1.42%"
"11/11/2021","17,981.39","18,089.46","18,164.59","17,967.69","","-0.60%"
